Category: All categories
"원두: (16/10/2022 - 16/10/2023, South Korea)"

TOP
커피 원두,100
커피,100
스타 벅스,19
스타 벅스 원두,19
원두 추천,16
원두 종류,11
원두 커피 머신,10
커피 원두 추천,9
커피 머신,9
원두 가격,8
원두 그라인더,7
커피 종류,7
커피 원두 종류,7
드립 커피,6
디카 페인 원두,6
핸드 드립,4
아라비카 원두,4
아라비카,4
게이샤 원두,4
모모 스 커피,1
투썸 플레이스,1
박용우,1
원두 와플,1
한국 대 페루,<1
안현범,<1

RISING
박용우,Breakout
한국 대 페루,Breakout
안현범,Breakout
홍현석,Breakout
김천 상무,Breakout
정승현,Breakout
원두 와플,+180%
투썸 플레이스,+150%
모모 스 커피,+100%

